"Commune","Code Site","Type","Adresse","Wilaya","LONGITUDE","LATITUDE","Mise en service"
"MAAMORA","BO1049","2G/3G","Village Maamoura centre diar asour el ghozlane, BOUIRA","BOUIRA","3.5524361111111","36.032525","22/09/2021"
"DJEBAHIA","BO1313","2G/3G","Tunnel de bouira, Djebahia, Wilaya de Bouira","BOUIRA","3.7929444444444","36.441230555556","29/12/2021"
"HAIZER","BO1008","2G/3G/4G","HAIZER  BOUIRA","BOUIRA","3.9980583333333","36.398608333333","01/05/2005"
"BOUIRA","BO1005","2G/3G/4G","CIT� 1100 LOGTS BT 07 BOUIRA","BOUIRA","3.8819388888889","36.379994444444","01/05/2005"
"BOUIRA","BO1004","2G/3G/4G","RUE BENHARKATE  N�68,  BOUIRA","BOUIRA","3.8822194444444","36.370275","01/05/2005"
"TAGHZOUT","BO1020","2G/3G/4G","COMMUNE TAGHZOUT, DAIRA HAIZER,  BOUIRA","BOUIRA","3.960275","36.4075","02/05/2005"
"BOUIRA","BO1000","2G/3G/4G","CITE RONIZI SAID, LOT N�18,  BOUIRA","BOUIRA","3.8916722222222","36.375","04/05/2005"
"BOUIRA","BO1003","2G/3G/4G","CITE 140 LOGS BOUIRA","BOUIRA","3.8863861111111","36.386669444444","10/05/2005"
"BOUIRA","BO1002","2G/3G/4G","PLACE GALLIA RAHIM BOUIRA","BOUIRA","3.9005583333333","36.374169444444","10/05/2005"
"AIN TURK","BO1033","2G/3G/4G","LE POSTE AIN TURK","BOUIRA","3.8194472222222","36.390275","03/08/2005"
"RAOURAOUA","BO1026","2G/3G/4G","RUE PRINCIPALE, RAOURAOUA,  BOUIRA","BOUIRA","3.649725","36.236941666667","03/08/2005"
"BIR GHBALOU","BO1024","2G/3G/4G","HAI YAAKOUB SLIMANE BIR AGHBALOU","BOUIRA","3.5864583333333","36.264516666667","03/08/2005"
"EL HACHIMIA","BO1017","2G/3G/4G","COMMUNE HACHIMIYA, BOUIRA","BOUIRA","3.81525","36.219944444444","03/08/2005"
"AIN BESSAM","BO1007","2G/3G/4G","AVENUE MOHAMED EL GHERBI, N� 68, AIN BESSAM,  BOUIRA","BOUIRA","3.6730583333333","36.293611111111","03/08/2005"
"BOUIRA","BO1038","2G/3G/4G","HAOUCH EL MOUNADHILINNE,  THAMEUR,  BOUIRA","BOUIRA","3.9377833333333","36.338055555556","29/08/2005"
"BECHLOUL","BO1022","2G/3G/4G","OUZOUAGHEN, COMMUNE DE BECHLOUL,  BOUIRA","BOUIRA","4.0649722222222","36.312027777778","28/03/2006"
"EL ADJIBA","BO1021","2G/3G/4G","ROUTE DE L'ADJIBA,  BOUIRA","BOUIRA","4.1536388888889","36.328444444444","01/04/2006"
"M'CHEDALLAH","BO1013","2G/3G/4G","IGHIL OUASSAS MECHEDELLAH BOUIRA","BOUIRA","4.2677777777778","36.36225","01/04/2006"
"SOUR EL GHOZLANE","BO1006","2G/3G/4G","SOUR EL GHOZLANE","BOUIRA","3.6988833333333","36.138333333333","20/06/2006"
"OUED EL BERDI","BO1023","2G/3G/4G","ZONE INDUSTRIELLE  OUED EL BERDI W  BOUIRA","BOUIRA","3.8741722222222","36.277497222222","08/07/2006"
"EL ASNAM","BO1019","2G/3G/4G","ASNAM CENTRE, BOUIRA","BOUIRA","4.0108333333333","36.322222222222","08/07/2006"
"LAKHDARIA","BO1036","2G/3G/4G","CITE 20 AO�T,  LAKHDARIA,  BOUIRA","BOUIRA","3.5822222222222","36.565416666667","22/07/2006"
"DJEBAHIA","BO1034","2G/3G/4G","BOULARBAH","BOUIRA","3.7177777777778","36.489722222222","22/07/2006"
"BOUDERBALA","BO1015","2G/3G/4G","VILLAGE AGRAIRE OULED CHALABI, BOUDERBALA, BOUIRA","BOUIRA","3.4949972222222","36.555561111111","22/07/2006"
"LAKHDARIA","BO1011","2G/3G/4G","Rue de l'hopital KHMIS KARA RUE DAHMANI ALI","BOUIRA","3.5961305555556","36.565458333333","22/07/2006"
"KADIRIA","BO1010","2G/3G/4G","CITE 215,  KADIRIA,  BOUIRA","BOUIRA","3.6769444444444","36.537780555556","22/07/2006"
"AOMAR","BO1009","2G/3G/4G","AOMAR,  BOUIA","BOUIRA","3.7755555555556","36.499722222222","22/07/2006"
"AHL EL KSAR","BO1018","2G/3G/4G","ZRIBA,  AHL KSAR,  BOUIRA","BOUIRA","4.0411055555556","36.251666666667","28/09/2006"
"SAHARIDJ","BO1030","2G/3G/4G","VILLAGE AGGACHE,  COMMUNE SAHARIDJ","BOUIRA","4.2461138888889","36.388886111111","30/09/2006"
"AGHBALOU","BO1014","2G/3G/4G","TAKARBOUST VILLAGE AGHBALLOU BOUIRA","BOUIRA","4.3380555555556","36.418333333333","30/09/2006"
"AIN LALOUI","BO1027","2G/3G/4G","LOT N� 11,  AIN ALOUI,  BOUIRA","BOUIRA","3.7488888888889","36.322775","22/11/2006"
"ATH MANSOUR","BO1053","2G/3G/4G","ATH MANSOUR TAOURIRT","BOUIRA","4.3036944444444","36.330666666667","07/12/2006"
"CHORFA","BO1016","2G/3G/4G","DOUAR CHEURFA,  BOUIRA","BOUIRA","4.3286388888889","36.361027777778","09/12/2006"
"OULED RACHED","BO1031","2G/3G/4G","OULED RACHED, DAIRA BECHLOUL,  BOUIRA","BOUIRA","4.1086111111111","36.210555555556","02/02/2007"
"SOUK EL KHEMIS","BO1032","2G/3G/4G","DE SOUK EL KHEMIS VILLE  BOUERA","BOUIRA","3.632","36.392583333333","06/02/2007"
"AIN EL HADJAR","BO1025","2G/3G/4G","RUE REZIK TAHAR COM AIN HADJAR  DER AIN BESSAM","BOUIRA","3.80675","36.3385","12/02/2007"
"EL KHABOUZIA","BO1035","2G/3G/4G","EL KHABOUZIA BOUIRA","BOUIRA","3.600725","36.314138888889","13/02/2007"
"DIRAH","BO1028","2G/3G/4G","DE DIRAH  - COMMUNE DE DIRAH","BOUIRA","3.7663888888889","36.004166666667","17/02/2007"
"HANIF","BO1039","2G/3G/4G","AHNIF CENTRE MECHDELAH BOUIRA","BOUIRA","4.2583638888889","36.329711111111","21/02/2007"
"AIT LAAZIZ","BO1012","2G/3G/4G","IGHIL BOUMARANE AIT LAAZIZ BOUIRA","BOUIRA","3.8913833333333","36.426947222222","17/03/2007"
"GUERROUMA","BO1037","2G/3G/4G","CENTRE EL GUERROUMA","BOUIRA","3.4276666666667","36.434416666667","14/04/2007"
"EL MOKRANI","BO1045","2G/3G/4G","EL MOKRANI EL M'SAYEF","BOUIRA","3.5825833333333","36.436083333333","25/06/2007"
"BOUIRA","BO1042","2G/3G/4G","BOUKRAM BOUIRA","BOUIRA","3.4238833333333","36.543330555556","31/08/2007"
"DECHMIA","BO1043","2G/3G/4G","Douar Zgarbia Dechemia Bouira","BOUIRA","3.5756666666667","36.130111111111","27/01/2008"
"BORDJ OUKHRISS","BO1040","2G/3G/4G","Chateau D'eau Bordj Boukhriss A C�t� D'ecole Badaoui Mohamed  Bouira","BOUIRA","3.9777805555556","36.081947222222","28/01/2008"
"ZBARBAR","BO1052","2G/3G/4G","Village Z'barbar","BOUIRA","3.5163916666667","36.489441666667","21/02/2008"
"EL HAKIMIA","BO1044","2G/3G/4G","VILLAGE HAKIMIA SOUR EL GHOZLANE BOUIRA","BOUIRA","3.7761083333333","36.093330555556","21/02/2008"
"HADJERA ZERGA","BO1046","2G/3G/4G","Village Hadjera Zerga Bouira","BOUIRA","3.8511111111111","35.960275","28/02/2008"
"SOUR EL GHOZLANE","BO1057","2G/3G/4G","RUE AIYACH RABEH,SOUR EL GHOUZLANE,BOUIRA","BOUIRA","3.6872222222222","36.159722222222","19/04/2009"
"SOUR EL GHOZLANE","BO1058","2G/3G/4G","Cimeti�re SourEl Ghouzlane Cole De Bekkouche Bouira","BOUIRA","3.7451666666667","36.179719444444","31/05/2009"
"AIN BESSAM","BO1055","2G/3G/4G","Rue Arrad Saleh","BOUIRA","3.6616111111111","36.296166666667","31/05/2009"
"LAKHDARIA","BO1059","2G/3G/4G","Rue Arabi Ben Mhedi, Lakhdaria,Bouira","BOUIRA","3.5958888888889","36.561305555556","01/06/2009"
"SOUR EL GHOZLANE","BO1056","2G/3G/4G","Cit� 142 Logts Ex Syndicat Sour Ghozlane Bouira","BOUIRA","3.6881666666667","36.144083333333","08/06/2009"
"LAKHDARIA","BO1048","2G/3G/4G","Village M�ala Lakhdaria Bouira","BOUIRA","3.70275","36.493416666667","28/09/2009"
"BOUDERBALA","BO1062","2G/3G/4G","DREA BOUNACER ELKHAROBA","BOUIRA","3.4150555555556","36.570416666667","24/03/2010"
"BOUDERBALA","BO1063","2G/3G/4G","Village Drablia commune Bouderbala daira Lakhdaria Bouira","BOUIRA","3.5081388888889","36.57975","07/04/2010"
"BOUIRA","BO1060","2G/3G/4G","Tikijda complexe hotels","BOUIRA","4.1282222222222","36.447944444445","05/05/2010"
"HANIF","BO1061","2G/3G/4G","Aghil Nait Rayou (TIGMILT EL AMRI)","BOUIRA","4.2279722222222","36.26575","27/09/2010"
"DJEBAHIA","BO1064","2G/3G/4G","BENHAROUN, DJEBAHIA, BOUIRA","BOUIRA","3.7754444444444","36.455638888889","28/11/2010"
"BOUIRA","BO1065","2G/3G/4G","BOUIRA","BOUIRA","3.903","36.367611111111","21/04/2011"
"AIN BESSAM","BO1067","2G/3G/4G","NOUVELLE VILLE DE AIN BESSAM","BOUIRA","3.6796388888889","35.293972222222","19/10/2011"
"AIN BESSAM","BO1066","2G/3G/4G","43 cit� 260 logements ain bessam bouira","BOUIRA","3.6763888888889","36.288333333333","19/10/2011"
"LAKHDARIA","BO1071","2G/3G/4G","CITE MEKHAZENI LAKHDARIA BOUIRA","BOUIRA","3.5980277777778","36.573194444444","26/06/2012"
"M'CHEDALLAH","BO1073","2G/3G/4G","village Raffour , commune M'chedallah, Bouira","BOUIRA","4.2888611111111","36.353388888889","08/07/2012"
"LAKHDARIA","BO1070","2G/3G/4G","RUE 17 OCTOBRE ROUT 83 EL KOUIRE LAKHDARIA BOUIRA","BOUIRA","3.6005277777778","36.558944444444","10/07/2012"
"BOUIRA","BO1082","2G/3G/4G","GRAND BOLVARD-BATIMENT 31  BOUIRA","BOUIRA","3.8898611111111","36.381527777778","31/08/2012"
"LAKHDARIA","BO1072","2G/3G/4G","N� 14RUE CHAIA AMAR ,Bouira","BOUIRA","3.5903055555556","36.563611111111","20/09/2012"
"BOUIRA","BO1079","2G/3G/4G","Cit� 338 lots N�32 Bouira","BOUIRA","3.8809722222222","36.386527777778","22/09/2012"
"SOUR EL GHOZLANE","BO1074","2G/3G/4G","LOT N�13 RUE EL AMIR ABDELKADER","BOUIRA","3.6918888888889","36.149944444444","04/10/2012"
"BOUIRA","BO1078","2G/3G/4G","AXE FINANCIER LOT N�3 EN FACE SONALGAZ BOUIRA","BOUIRA","3.8853055555556","36.375944444444","31/10/2012"
"BOUIRA","BO1081","2G/3G/4G","Cit� 56 logts coop Woulad kacem Bouira","BOUIRA","3.8966111111111","36.390777777778","26/11/2012"
"AIN BESSAM","BO1068","2G/3G/4G","RUE ABDELKADER BOUZIANE   /ain bessam","BOUIRA","3.673","36.299888888889","30/11/2012"
"KADIRIA","BO1086","2G/3G/4G","MADINET EL HAYAT , ZBERBOURA KADIRIA","BOUIRA","3.6390833333333","36.555888888889","09/06/2013"
"OUED EL BERDI","BO1085","2G/3G/4G","Village FREKSA OUED EL BERDI","BOUIRA","3.9376388888889","36.263416666667","29/08/2013"
"BOUIRA","BO1084","2G/3G/4G","RN 5 EN FACE NAFTAL ET UNO BOUIRA","BOUIRA","3.9036944444444","36.396472222222","27/11/2013"
"MEZDOUR","BO1075","2G/3G/4G","MEZDOUR BORDJ OKHRIS BOUIRA","BOUIRA","4.0674166666667","36.081083333333","09/12/2013"
"BOUIRA","BO1091","2G/3G/4G","Cit� 70 Lgts, Bouira","BOUIRA","3.894","36.377972222222","27/01/2014"
"BOUIRA","BO1083","2G/3G/4G","Cit� Hamlaoui Rabah N�1, Bouira","BOUIRA","3.8936944444444","36.370222222222","02/02/2014"
"BECHLOUL","BO1320","2G/3G/4G","VILLAGE OULED BECHEKIR BECHELOUL","BOUIRA","4.0972222222222","36.319141666667","05/03/2017"
"AOMAR","BO1317","2G/3G/4G","RUE MAHFOUDH M'KADEM KADIRIA W DE BOUIRA","BOUIRA","3.7659333333333","36.492197222222","07/03/2017"
"LAKHDARIA","BO1315","2G/3G/4G","RUE BOUMELAH SLIMANE TALOUINE LAKHDARIA","BOUIRA","3.6686305555556","36.540580555556","09/03/2017"
"KADIRIA","BO1316","2G/3G/4G","RUE MAHFOUDH M'KADEM KADIRIA W DE BOUIRA","BOUIRA","3.6826944444444","36.531027777778","09/03/2017"
"AFIR","BO1321","2G/3G/4G","Village ighrem ahnif w de bouira","BOUIRA","4.1868333333333","36.338083333333","09/03/2017"
"LAKHDARIA","BO1308","2G/3G/4G","HAZAMA SUPERIEURE","BOUIRA","3.6092472222222","36.578355555555","14/11/2017"
"Djebahia","BO1077","2G/3G/4G","CITE EL HORIA DJEBAHIA CENTRE VILLE , Pres si�ge Pompiers","BOUIRA","3.7581388888889","36.474972222222","14/02/2018"
"M'CHEDALLAH","BO1303","2G/3G/4G","ATH ZEGANE TAOURIRT AIT MANSOUR W BOUIRA","BOUIRA","4.3166666666667","36.329611111111","18/02/2018"
"BOUIRA","BO1093","2G/3G/4G","lot 17 LOGTS rass bouira","BOUIRA","3.9123305555556","36.364658333333","18/12/2018"
"CHORFA","BO1311","2G/3G/4G","RN N� 26 Village de Falki route de tazmalt","BOUIRA","4.3605","36.36975","25/12/2018"
"BOUDERBALA","BO1333","2G/3G/4G","Village tamarkanit bouderbala, Bouira","BOUIRA","3.4890111111111","36.599673055556","21/02/2019"
"EL ASNAM","BO1334","2G/3G/4G","Village guemgouma el esnam w de bouira","BOUIRA","3.9683055555556","36.292861111111","06/05/2019"
"LAKHDARIA","BO1312","2G/3G/4G","CITE OUELDECHE LAKHDARIA","BOUIRA","3.7850777777778","36.465522222222","22/05/2019"
"HAIZER","BO1337","2G/3G/4G","RUE SIDI OUIS MOHAMED HAIZER_ BOUIRA","BOUIRA","4.0009388888889","36.395681944444","13/03/2020"
"BOUIRA","BO1090","2G/3G/4G","Cete boutoula ammar khodja Bouira","BOUIRA","3.875","36.369388888889","13/10/2020"
"BOUIRA","BO1336","2G/3G/4G","Stade de Bouira,Rue stade Rabah Bitat BOUIRA","BOUIRA","3.8754222222222","36.380333333333","15/10/2020"
"AIN EL HADJAR","BO1329","2G/3G/4G","Said Abid _AIN EL HADJAR-Bouira","BOUIRA","3.8338827777778","36.348623888889","20/01/2021"
"ELADJIBA","BO1338","2G/3G/4G","CITE LOT 95 N�27 ELADJIBA CENTRE, BOUIRA","BOUIRA","4.1613333333333","36.326969444444","22/09/2021"
"BECHLOUL","BO1306","2G/3G/4G","VILLAGE BECHLOUL CENTRE","BOUIRA","4.0712277777778","36.31175","22/09/2021"
"EL ADJIBA","BO1325","2G/3G/4G","SEMMACHE EL-ADJIBA , Bouira","BOUIRA","4.1567222222222","36.351305555556","03/01/2022"
"TAGUEDIT","BO1051","2G/3G/4G","VILLAGE TAGUEDIT","BOUIRA","3.9862777777778","36.020077777778","11/05/2022"
"BOUIRA","BO1300","2G/3G/4G","HAI ZEROUKI BOUIRA","BOUIRA","3.8965555555556","36.373305555555","29/06/2022"
"OUED EL BERDI","BO1341","2G/3G/4G","VILLAGE EL MERJA FRAKSA APC OUED EL BERDI","BOUIRA","3.9475055555556","36.270102777778","31/07/2022"
