"WILAYA","COMMUNE","LOCALITÉ","Longitude","Latitude","المنطقة","البلدية","Populations","Covert_Fixe","Type_tech","Etat_loc","Obser_DW","Observations"
"BOUIRA","Ain Laloui","Bni Meslem","36.297179","3.745925","بني مسلم","عين العلوي","100","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ain Laloui","Draa Bourfia","36.308001","3.764125","دراع بورفية","عين العلوي","250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ain Laloui","El Adjabi","36.31229","3.76884","العجابي","عين العلوي","70","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Ain Turk","Ibournane1","36.425319","3.802581","ابورنان1","عين الترك","200","Non","","Exclue GPS","",""
"BOUIRA","Ain Turk","Lounici1","36.366947","3.83646","لونيسي1","عين الترك","150","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ait Laaziz","Ath Khelouf","36.422212","3.897118","اث خلوف","ايت لعزيز","260","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ait Laaziz","Ichatbiouen","36.44762","3.922353","إشدبيون","ايت لعزيز","358","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ait Laaziz","Ivarvaren","36.443512","3.883742","إبربارن","ايت لعزيز","56","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Aomar","Chabet Ikhelef","36.463168","3.810177","شعبة اخلف","عمر","950","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Aomar","Ouled Nacer","36.528613","3.794827","اولاد نلصر","عمر","500","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Aomar","Inedjaren","36.509892","3.800879","إنجارن","عمر","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Aomar","Ain Beidha","36.507392","3.717992","عين البيضة","عمر","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Aomar","Melalij","36.46335","3.799381","ملاليج","عمر","400","Non","","éligible ","",""
"BOUIRA","Ath Mensour","Rodha","36.281743","4.355348","روضة","اث منصور","450","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ath Mensour","Ath Oudahmane","36.274333","4.351158","اث اودحمان","اث منصور","241","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bechloul","Ath Khaled","36.290989","4.106787","اث خالد","بشلول","100","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bir Ghbalou","Tyaissa","36.310632","3.544021","تيايسة","بئر غبالو","572","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bir Ghbalou","Hamda centre","36.297593","3.548145","حمدة مركز","بئر غبالو","566","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bir Ghbalou","Hai Rabah darmouche","36.285532","3.564001","حي رابح درموش","بئر غبالو","210","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bordj Okhris","Ben Sadia","36.041504","3.51971","بن سعدية ","برج أخريص","25","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bordj Okhris","Zone Yanina","36.052923","3.502351","منطقة ينينة ","برج أخريص","15","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bordj Okhris","Village el rouabea","36.120733","3.911513"," قرية الروابع","برج أخريص","123","Non","","éligible AT NH","",""
"BOUIRA","Bordj Okhris","Hdjilette","36.073207","3.835533","حجيلات","برج أخريص","52","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bordj Okhris","El Trakele Bouaicha","36.3075371","3.922641","التراقل بوعيشة","برج أخريص","91","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Bordj Okhris","Houamed","36.098361","3.871782","حوامد","برج أخريص","230","Non","","éligible ","",""
"BOUIRA","Bouderbala","Village Tazrourt","36.551804","3.491447","قرية تزروت","بودربالة","1000","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bouderbala","Village abd el djebbar","36.540517","3.465585","قرية عبد الجبار","بودربالة","700","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bouderbala","Village Ouled Ammar et Ouled Youcef","36.560068","3.456391","قرية اولاد اعمر و اولاد يوسف","بودربالة","700","Non","","éligible 2G ","",""
"BOUIRA","Bouderbala","Village  Kasbaya  et Diar Alchine et Mezaourou *","36.54254","3.507616","قرية قصبلية و ديار الشين و مزاورو","بودربالة","400","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bouderbala","Village  Al Sabt","36.535846","3.489613","قرية السبت","بودربالة","600","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bouderbala","Village  Ouled Belaid","36.538149","3.441741","قرية اولاد بلعيد","بودربالة","1250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Bouderbala","Boulaonsor","36.32922","3.28032","بولعضر","بودربالة","180","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","Touloughit","36.523927","3.429288","تولوغيت","بوكرام","80","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","Village Boukreme","36.515791","3.393544","قرية بوكرام","بوكرام","150","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","Boukhelfoune","36.507961","3.406247","بوخلفون","بوكرام","191","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","Ouled Kouider","36.547169","3.341242","اولاد قويدر","بوكرام","82","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","El karia","36.547738","3.411167","القرية","بوكرام","48","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","Tizi Mako","36.541192","3.374008","تيزي ماكو","بوكرام","330","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","Boutboul","36.524735","3.366433","بوطبول","بوكرام","350","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Boukrame","Bouyagra","36.537899","3.408275","بويقرة","بوكرام","100","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dechmia","Theniat Ben Youcef","36.108683","3.535182","ثنية بن يوسف ","الدشمية","90","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dechmia","Chenachenia","36.132851","3.544924","الشناشنية ","الدشمية","252","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dechmia","Village Ouled Azzaz","36.144391","3.625741","قرية اولاد عزاز","دشمية","88","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dechmia","Village Trabchia","36.121711","3.549085","قرية طرابشة","دشمية","95","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dechmia","El Kassoul - El Katar","36.124153","3.513852","القاسول-القطار","الدشمية","420","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dirah","Village Beit  Rabi","35.946671","3.676492","قرية بيت ربي","ديرة","60","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dirah","EL Hamra","36.042379","3.789927","الحمراء","ديرة","235","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","Requête récurrente des citoyens (localié isolée) Aucune couverture 3G/4G Mobile",""
"BOUIRA","Dirah","Ouled Aissa","36.036942","3.753643","اولاد عيسى","ديرة","385","Non","","Exclue GPS","",""
"BOUIRA","Dirah","Ouled Yahia","36.024597","3.739207","اولاد يحي","ديرة","1113","Non","","éligible 2G ","",""
"BOUIRA","Dirah","Village  El Maleh","36.000635","3.790903","قرية المالح","ديرة","690","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","Requête récurrente des citoyens (localié isolée) Aucune couverture 3G/4G Mobile",""
"BOUIRA","Dirah","Village Teraka","35.980024","3.753901","قرية طراقة","ديرة","720","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dirah","Village Lachouaf","35.957613","3.751033","قرية لشواف","ديرة","582","Non","","éligible 2G ","",""
"BOUIRA","Dirah","Village Ahrar","35.954939","3.358273","قرية احرار","ديرة","490","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dirah","Village Ouled Ketrini","35.958539","3.719521","قرية اولاد قطريني","ديرة","185","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Dirah","Hedjairia  ","36.531314","3.767501","حجايرية","ديرة","102","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Mahdjer","36.458185","3.707889","محجر","جباحية","131","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","El jerazia","36.489183","3.690143","الجرازية","جباحية","96","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","El Hamam","36.459887","3.741299","الحمام","جباحية","47","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Hedjita  BAS","36.461424","3.685134","حجيتة السفلى","جباحية","165","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Chaabet Khanouce","36.462005","3.731989","شعبة خنوس","جباحية","650","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Dehssa","36.488827","3.703282","دهسة","جباحية","750","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Hedjita  Haut","36.461373","3.695845","حجيتة العليا","جباحية","70","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Mouilha","36.458601","3.752846","مويلحة","جباحية","360","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Lahguia El Soufla","36.480685","3.694856","لحقية السفلى","جباحية","1923","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Djebahia","Boulerbah 2","36.492955","3.717371","بولرباح 2","جباحية","650","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Adjiba","Tamra","36.356727","4.132186","تامرة","العجيبة","1200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Asnam","Ijerdikhen","36.277968","4.981824","اجوردخن","الاصنام","85","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Asnam","Oued Edhous","36.350853","4.007697","واد دهوس","الاصنام","150","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Asnam","Ath Maamer"," 36.285292","3.986611","اث معمر","الاصنام","300","Non","","Exclue GPS","",""
"BOUIRA","El Asnam","Château","36.355022","4.019944","شاطو","الاصنام","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Asnam","Ichealalene","36.305597","4.032942","اشعلالن","الاصنام","400","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hachimia","Ahl Argueb","36.234022","3.883448","اهل رقاب","الهاشمية","420","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hachimia","Sdara","36.193913","3.860035","سدارة","الهاشمية","750","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hachimia","Batatia","36.15882","3.464129","بطاطية ","الهاشمية","90","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hakimia","Charchara+El Moidheh","36.1356","3.753371","شرشارة+ المواضح","الحاكمية","37","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hakimia","Oued Guemra","36.1406","3.839707","واد القمرة","الحاكمية","40","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hakimia","Ahl Chaaba","36.115","3.806359","اهلالشعابة","الحاكمية","34","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hakimia","Draa Lahrach","36.13842","3.788927","دراع لحرش","الحاكمية","314","Non","","éligible AT 2G","",""
"BOUIRA","El Hakimia","Ouled Chahma","36.09578","3.807976","اولاد الشحمة","الحاكمية","58","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Hakimia","Boutagua","36.07466","3.810358","بوطاقة","الحاكمية","301","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Khabouzia","Oued Azrou","36.331893","3.609931","واد ازرو","الخبوزية","170","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Khabouzia","Thelaidjia","36.322265","3.623235","ثلايجية","الخبوزية","190","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Khabouzia","El Miaissa","36.33467","3.57013","الميايسة ","الخبوزية","226","Non","","éligible ","",""
"BOUIRA","El Mokrani","Ould Yahya","36.410883","3.581819","اولاد يحي","المقراني","30","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","El Mokrani","Oum Douilia","36.410683","3.597075","ام دويلية","المقراني","40","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","El Mokrani","Mechta","36.426259","3.60706","مشتة","المقراني","59","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","El Mokrani","Maarouf","36.413775","3.597961","معروف","المقراني","70","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Hammeau Guerrouma EL Zaouia","36.48472","3.43565","جبل جرومة الزاوية","قرومة","270","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Baassem","36.4906","3.3965","بعاصم","قرومة","97","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Ghzour el Mal","36.5236","3.4856","اغزور المال","قرومة","39","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Guerrouma","Ouled Meziane","36.4173","3.4279","اولاد مزيان","قرومة","105","Non","","éligible 2G NH","",""
"BOUIRA","Guerrouma","Village Abd El Nour ","36.45127","3.41335","قرية عبد النور","قرومة","570","Non","","éligible AT","",""
"BOUIRA","Guerrouma","village Djouaoudja","36.45169","3.41854","قرية جواوجة","قرومة","434","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Village H'nif","36.4308","3.4507","قرية حنيف","قرومة","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Village Laaouaouda","36.44332","3.3987","قرية لعواودة","قرومة","512","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Village Abd EL Nour
Boumegrane ","36.47136","3.39937","قرية عبد النور بومقران","قرومة","427","Non","","éligible ","",""
"BOUIRA","Guerrouma","Village Beni Annane","36.48107","3.41524","قرية بني عنان","قرومة","70","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Village Nouasfia","36.51717","3.36933","قرية نواسفية","قرومة","61","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Guerrouma","Village Talailf","36.46438","3.42999","قرية تالة الف","قرومة","510","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Village Babore","36.50892","3.47315","قرية بابور","قرومة","242","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Village Tifiresse","36.48635","3.45286","قرية تفيرس","قرومة","255","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Village Hanit Baynou","36.41064","3.42175","قرية حنيت","قرومة","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Boussalah","36.481289","3.434067","بوصالح","قرومة","57","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Sidi Moussa","36.48078","3.408492","سيدي موسى","قرومة","122","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Marzkala","36.513857","3.478171","مرزق الله","قرومة","218","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Laouanbeche","36.484893","3.38074","لعونباش","قرومة","34","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Guerrouma","Ouled Kateb","36.513857","3.478171","اولاد كاتب","قرومة","101","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Kelmama","36.477418","3.391212","كلمامة","قرومة","127","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Souk ThelaThaa","36.4248","3.4406","سوق الثلاثاء","قرومة","398","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Guerrouma","Ouled Meziane","36.4173","3.4279","اولاد مزيان","قرومة","105","Non","","éligible 2G NH","",""
"BOUIRA","Guerrouma","Mezerkala","36.5099","3.4621","مرزكالة","قرومة","218","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Hadjra Zerga","Oum Safia","36.002152","3.848922","ام صافية","الحجرة الزرقاء","115","Non","","éligible 2G NH","",""
"BOUIRA","Hadjra Zerga","Village El Bassane","36.924113","3.854643","قرية البسان","الحجرة الزرقاء","359","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Hadjra Zerga","Zaouiate Belaamouri","35.916535","3.772677","زاوية بلعموري","الحجرة الزرقاء","512","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Hadjera Zerga","El Hammam","35.968325","3.836407","الحمام","الحجرة الزرقاء","56","Non","","Exclue GPS","",""
"BOUIRA","Haizer","Ain Alouane","36.430531","4.076114","عين علوان","حيزر","290","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Haizer","Izemouren","36.42683","4.010893","ازمورن","حيزر","100","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Haizer","Laach Oufalkou","36.371053","3.985885","العش افالكو","حيزر","400","Non","","éligible ","",""
"BOUIRA","Haizer","Ath Nouichi - Smaili","36.40282","4.049872","اث نويشي-سماعيلي","حيزر","800","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Haizer","Ath Aich -Azzi-","36.409433","4.048533","ايت اعيش عزي","حيزر","700","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Kadiria","El Hdadiche","36.53546","3.72411","الحداديش","القادرية","45","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Kadiria","Tihouna","36.500152","3.645672","تحونة","قادرية","400","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Kadiria","Mouaziz","36.471485","3.645875","موعزيز","قادرية","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Kadiria","Talawghanime","36.560357","3.700428","تالة اوغنيم","قادرية","300","Non","","éligible ","",""
"BOUIRA","Kadiria ","Ouled Belfodhil","36.538127","3.742935","اولاد بلفوضيل","قادرية","189","Non","","éligible NH ","",""
"BOUIRA","Kadiria ","Ouled Amara","36.500991","3.697353","اولاد عمارة","قادرية","274","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Kadiria ","Ziraoua","36.498619","3.71","زيراوة","قادرية","558","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Kadiria","Begas","36.57305","3.71157","بقاص","القادرية","800","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Lakhdaria","Vilage Mahouen ET Ouled Chaabane","36.559097","3.538946","قرية مهون و اولاد شعبان","الاخضرية","562","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Lakhdaria","Village Essabt","36.534633","3.495517","قرية السبت","الاخضرية","605","Non","","éligible 2G ","",""
"BOUIRA","Lakhdaria","Vilage Berkata  et Mesmoulata","36.532103","3.528969","قرية بركاتة و مسمولاتة","الاخضرية","590","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Lakhdaria","Village Tala Ilef","36.563156","3.562494","قرية تالة الف","الاخضرية","143","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Lakhdaria","Village Bouremdjane","36.558718","3.524641","قرية بورجان","الاخضرية","369","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Lakhdaria","VILLAGE Takoucht  et Zmala","36.550661","3.558219","قرية تكوشت و زمالة","الاخضرية","470","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maala","Taguezirt ","36.312938","3.320612","تقزيرت","معالة","257","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maala","Berricha","36.305903","3.344813","بريشة","معالة","286","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maala","Ben hlima","36.530286","3.558865","بن حليمة","معالة","80","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maala","Kanaouette","36.260118","3.354264","كنوشات","معالة","111","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maala","Ouled Bechani","36.5019444","3.590833","اولاد بشاني","معالة","133","Non","","Exclue GPS","",""
"BOUIRA","Maala","Ouled Salem","36.520555","3.546666","اولاد سالم","معالة","180","Non","","Exclue GPS","",""
"BOUIRA","Maala","Ouled Aarab","36.315434","3.323056","اولاد اعراب","معالة","300","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maala","Boukhazem","36.281271","3.352641","بوخازم","معالة","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","Djenane Thmar","36.044852","3.580379","جنان تمر","معمورة","60","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","El Magrounia","36.022811","3.577999","المقرونية","معمورة","50","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","Ouled Rached A ","36.027434","3.633746","اولاد راشد (ا)","معمورة","350","Non","","éligible AT 2G","",""
"BOUIRA","Maamoura","Hawata Hammeau Sali  ","36.023771","3.601276","حواتة","معمورة","250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","Hammeau Messaoudi ","36.013231","3.596465","جبل مسعودي","معمورة","250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","Bouleguroune","35.531203","3.421281","بولقرون","معمورة","150","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","Ouled Rached B ","36.063494","3.644282","اولاد راشد (ب)","معمورة","350","Non","","éligible 2G ","",""
"BOUIRA","Maamoura","Guerracha","36.044991","3.616725","قراشة","معمورة","150","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","Dardaria","36.038674","3.575309","دردارية","معمورة","250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Maamoura","Hawata-Draa Labiadh ","36.039377","3.594038","حواتة -دراع الابيض","معمورة","250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","M'chedallah","Thamourth  Ouzemour","36.355861","4.151189","ثمورث ازمور","امشدالة","548","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Mesdour","Thenaia","36.039975","4.056709","الثنايا ","المسدور","57","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Mesdour","Tilazite cité 180 logts","36.078954","4.061257","تلازيت حي 180 مسكن","مسدور","600","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Mesdour","Ouled Anane","36.085744","4.104587","اولاد اعنان","مسدور","416","Non","","éligible ","",""
"BOUIRA","Mesdour","Draa Labiad","36.097597","4.083334","دراع الابيض","مسدور","320","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Mesdour","El Chouiriatte","36.102991","4.095847","الشويريات","مسدور","472","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Oued El Berdi","Almdjadbid","36.296018","3.886375","المجادبية ","واد البردي","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
